Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Monday,8,ADa - PMax,"2,284",59,2.58%,AED,0.80,47.48,1.69%,1.00,47.48
Sunday,8,ADa - PMax,"1,697",66,3.89%,AED,0.79,52.43,1.52%,1.00,52.43
Sunday,23,ADa - PMax,"3,591",122,3.40%,AED,0.37,44.61,0.82%,1.00,44.61
Friday,6,ADa - Eng,37,1,2.70%,AED,4.93,4.93,0.00%,0.00,0.00
Tuesday,7,ADa - Eng,50,3,6.00%,AED,2.96,8.89,0.00%,0.00,0.00
Monday,0,ADa - Eng,57,3,5.26%,AED,4.25,12.75,0.00%,0.00,0.00
Thursday,23,ADa - PMax,"4,603",172,3.74%,AED,0.41,71.18,1.74%,2.99,23.77
Wednesday,22,ADa - PMax,"3,381",137,4.05%,AED,0.62,84.44,2.43%,3.33,25.34
Monday,21,ADa - PMax,"2,579",99,3.84%,AED,0.83,82.61,1.01%,1.00,82.57
Sunday,14,ADa - PMax,"4,112",153,3.72%,AED,0.55,83.78,0.00%,0.00,0.00
Sunday,22,ADa - PMax,"4,710",173,3.67%,AED,0.48,82.76,0.58%,1.00,82.73
Saturday,15,ADa - Eng,44,3,6.82%,AED,3.16,9.49,0.00%,0.00,0.00
Friday,2,ADa - Eng,40,3,7.50%,AED,4.25,12.74,0.00%,0.00,0.00
Monday,18,ADa - Eng,11,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Saturday,11,ADa - PMax,"4,079",79,1.94%,AED,1.03,81.09,0.00%,0.00,0.00
Wednesday,2,ADa - Eng,32,1,3.13%,AED,4.86,4.86,0.00%,0.00,0.00
Sunday,7,ADa - Eng,44,4,9.09%,AED,3.23,12.91,0.00%,0.00,0.00
Tuesday,16,ADa - PMax,"3,279",87,2.65%,AED,0.85,73.78,0.00%,0.00,0.00
Saturday,4,ADa - Eng,19,1,5.26%,AED,1.84,1.84,0.00%,0.00,0.00
Friday,13,ADa - Eng,38,5,13.16%,AED,3.30,16.50,0.00%,0.00,0.00
