Demographic status,Gender,Campaign,Ad group,Status,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Male,ADa - Competitors,Elation Health,Campaign paused, --,7,1,14.29%,USD,1.94,1.94,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,CentralReach,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Azalea Health,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Praxis EMR,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Ensora Health,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Care4 EMR(UAE),Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Carepatron,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Noterro,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Praxis EMR,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Epic Systems Corporation,Campaign paused, --,45,2,4.44%,USD,1.92,3.83,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,Pabau,Campaign paused, --,9,2,22.22%,USD,1.99,3.98,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,SimplePractice,Campaign paused, --,5,1,20.00%,USD,2.00,2.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,NextGen Healthcare,Campaign paused, --,13,1,7.69%,USD,2.00,2.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,DTech IT Solutions(UAE),Campaign paused, --,21,1,4.76%,USD,1.99,1.99,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,MedicoPlus,Campaign paused, --,12,3,25.00%,USD,1.80,5.41,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,PracticeBetter,Ad group not complete, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa - Competitors,Zanda (formerly Power Diary),Campaign paused, --,5,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Azalea Health,Campaign paused, --,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa - Competitors,Practice Better,Campaign paused, --,4,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa - Competitors,ModMed,Campaign paused, --,0,0, --,USD,0,0.00,0.00%,0.00,0.00
