Ad schedule day and hour report
1 October 2025 - 31 December 2025
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Monday,2,ADa - Competitors,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,0,ADa - Competitors,3,1,33.33%,USD,1.94,1.94,0.00%,0.00,0.00
Thursday,13,ADa - Competitors,14,2,14.29%,USD,1.91,3.81,0.00%,0.00,0.00
Sunday,11,ADa - Competitors,12,1,8.33%,USD,2.00,2.00,0.00%,0.00,0.00
Saturday,8,ADa - Competitors,15,2,13.33%,USD,1.35,2.70,0.00%,0.00,0.00
Thursday,20,ADa - PMax,27,7,25.93%,USD,0.08,0.59,0.00%,0.00,0.00
Monday,13,ADa - PMax,135,21,15.56%,USD,0.22,4.67,0.00%,0.00,0.00
Monday,14,ADa - PMax,87,8,9.20%,USD,0.12,0.96,0.00%,0.00,0.00
Friday,13,ADa - Services,71,7,9.86%,USD,2.00,13.99,0.00%,0.00,0.00
Sunday,2,ADa - Services,26,3,11.54%,USD,2.95,8.85,0.00%,0.00,0.00
Saturday,13,ADa - Services,72,6,8.33%,USD,2.90,17.38,0.00%,0.00,0.00
Monday,21,ADa - Competitors,8,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Tuesday,4,ADa - Services,14,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Tuesday,20,ADa - Services,54,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,6,ADa - PMax,324,10,3.09%,USD,0.08,0.83,0.00%,0.00,0.00
Thursday,13,ADa - PMax,19,9,47.37%,USD,0.02,0.15,0.00%,0.00,0.00
Tuesday,9,ADa - PMax,54,11,20.37%,USD,0.09,1.01,18.18%,2.00,0.50
Thursday,20,ADa - Services,28,7,25.00%,USD,2.66,18.61,14.29%,1.00,18.61
Wednesday,10,ADa - Services,150,8,5.33%,USD,3.33,26.66,12.50%,1.00,26.66
Tuesday,6,ADa - Services,14,1,7.14%,USD,2.81,2.81,0.00%,0.00,0.00
Tuesday,18,ADa - Services,85,4,4.71%,USD,2.41,9.63,0.00%,0.00,0.00
Saturday,16,ADa - Services,62,2,3.23%,USD,2.95,5.89,0.00%,0.00,0.00
Saturday,22,ADa - Services,19,1,5.26%,USD,1.84,1.84,100.00%,1.00,1.84
Thursday,4,ADa - Services,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Tuesday,3,ADa - Services,6,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Monday,19,ADa - PMax,67,3,4.48%,USD,0.75,2.24,0.00%,0.00,0.00
Saturday,12,ADa - PMax,750,49,6.53%,USD,0.05,2.68,0.00%,0.00,0.00
Friday,7,ADa - Services,25,1,4.00%,USD,2.38,2.38,0.00%,0.00,0.00
Friday,23,ADa - Services,61,5,8.20%,USD,2.50,12.49,0.00%,0.00,0.00
Wednesday,17,ADa - Services,160,6,3.75%,USD,2.78,16.65,0.00%,0.00,0.00
Monday,17,ADa - Services,61,2,3.28%,USD,1.95,3.90,0.00%,0.00,0.00
Sunday,13,ADa - Services,131,7,5.34%,USD,1.93,13.53,21.43%,1.50,9.02
