Age report
1 October 2025 - 31 December 2025
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,25 - 34,S | Competitors | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | Competitors | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | Competitors | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | Competitors | NL,competitor kunert,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | Competitors | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | Competitors | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | Competitors | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | Competitors | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,panty stippen,Campaign paused, --,EUR,70.99,621,32,5.15%,1.38,44.09,4.69%,1.50,29.39
Enabled,45 - 54,S | General | NL,panty anti ladder,Campaign paused, --,EUR,124.35,334,33,9.88%,1.26,41.53,3.03%,1.00,41.53
Enabled,55 - 64,S | General | NL,panty stippen,Campaign paused, --,EUR,53.67,356,16,4.49%,1.19,19.11,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,panty onverwoestbare,Campaign paused, --,EUR,183.20,606,68,11.22%,1.63,111.02,4.41%,3.00,37.01
Enabled,Unknown,S | General | NL,panty ladder resist,Campaign paused, --,EUR,20.70,71,2,2.82%,0.74,1.47,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,panty 30 dernier plus size,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,panty 50 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty anti ladder 30 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor hema,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,panty zwarte,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,panty onverwoestbare,Campaign paused, --,EUR,163.98,622,63,10.13%,1.62,102.00,12.70%,8.00,12.75
Enabled,55 - 64,S | General | NL,panty anti ladder,Campaign paused, --,EUR,49.60,192,11,5.73%,0.87,9.52,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,panty stippen,Campaign paused, --,EUR,8.57,152,1,0.66%,1.30,1.30,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty anti ladder,Campaign paused, --,EUR,59.65,"1,565",101,6.45%,0.92,93.35,2.97%,3.00,31.12
Enabled,18 - 24,S | General | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,panty 30 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty 30 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,panty zwarte,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor heist studios,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,panty zwarte,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,panty anti ladder 30 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,panty 30 dernier plus size,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
