Location report
1 January 2026 - 26 March 2026
Location,Campaign,Ad group,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Spain,S | Brand | EU | DE, --,EUR,5.00,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Norway,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Austria,S | Brand | EU | DE, --,EUR,3.75,8,3,37.50%,0.01,0.03,0.00%,0.00,0.00
Netherlands,PMax | Rem | NL | New, --,EUR,16.91,"94,390","5,157",5.46%,0.31,1596.48,0.78%,40.25,39.66
Total: Locations,,,EUR,8.16,"825,057","20,488",2.48%,0.33,6734.01,0.74%,151.00,44.60
Total: Other locations,,,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Account,,,EUR,8.16,"825,057","20,488",2.48%,0.33,6734.01,0.74%,151.00,44.60
Total: Demand Gen,,,EUR,0.72,"446,413","1,440",0.32%,0.22,322.04,0.00%,0.00,0.00
Total: Display,,,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Smart,,,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Total: Shopping,,,EUR,18.00,"2,911",44,1.51%,1.19,52.41,0.00%,0.00,0.00
Total: Search,,,EUR,72.70,"27,902","1,736",6.22%,1.17,2028.48,4.48%,77.75,26.09
Total: Performance Max,,,EUR,12.45,"347,831","17,268",4.96%,0.25,4331.08,0.42%,73.25,59.12
