Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Monday,1,PMax | Rem | UK,EUR,20.38,26,2,7.69%,0.26,0.53,0.00%,0.00,0.00
Monday,5,PMax | Rem | UK,EUR,5.36,55,2,3.64%,0.15,0.29,0.00%,0.00,0.00
Monday,14,PMAX | shopping | EU | EN,EUR,11.60,173,4,2.31%,0.50,2.01,0.00%,0.00,0.00
Sunday,11,PMAX | shopping | EU | EN,EUR,0.58,489,8,1.64%,0.04,0.29,0.00%,0.00,0.00
Sunday,13,PMAX | shopping | EU | EN,EUR,3.34,454,7,1.54%,0.22,1.52,0.00%,0.00,0.00
Friday,0,DGen | EN,EUR,1.03,229,1,0.44%,0.24,0.24,0.00%,0.00,0.00
Wednesday,1,DGen | EN,EUR,0.37,295,2,0.68%,0.05,0.11,0.00%,0.00,0.00
Wednesday,4,DGen | EN,EUR,0.42,406,2,0.49%,0.09,0.17,0.00%,0.00,0.00
Wednesday,16,DGen | EN,EUR,0.35,"5,148",9,0.17%,0.20,1.81,0.00%,0.00,0.00
Tuesday,8,DGen | EN,EUR,1.10,"3,342",13,0.39%,0.28,3.68,0.00%,0.00,0.00
Monday,10,DGen | EN,EUR,0.59,569,5,0.88%,0.07,0.34,0.00%,0.00,0.00
Thursday,2,PMax | Rem | US | EN,EUR,0.43,70,1,1.43%,0.03,0.03,0.00%,0.00,0.00
Monday,8,PMax | Rem | US | EN,EUR,92.22,9,1,11.11%,0.83,0.83,0.00%,0.00,0.00
Sunday,11,PMax | Rem | US | EN,EUR,222.22,9,2,22.22%,1.00,2.00,0.00%,0.00,0.00
Friday,13,ADa_Panty_NL,EUR,3.86,143,7,4.90%,0.08,0.55,0.00%,0.00,0.00
Friday,20,ADa_Panty_NL,EUR,8.93,489,51,10.43%,0.09,4.36,0.00%,0.00,0.00
Wednesday,12,PMax | Rem | NL | New,EUR,6.94,526,27,5.13%,0.14,3.65,0.00%,0.00,0.00
Sunday,6,PMax | Rem | NL | New,EUR,3.53,111,5,4.50%,0.08,0.39,0.00%,0.00,0.00
Wednesday,0,S | General | EU | EN,EUR,90.00,41,4,9.76%,0.92,3.69,0.00%,0.00,0.00
Wednesday,2,S | General | EU | EN,EUR,97.69,26,2,7.69%,1.27,2.54,0.00%,0.00,0.00
Wednesday,8,S | General | EU | EN,EUR,26.37,80,4,5.00%,0.53,2.11,0.00%,0.00,0.00
Tuesday,8,S | General | EU | EN,EUR,28.50,113,4,3.54%,0.81,3.22,0.00%,0.00,0.00
Friday,14,ADa_Pants_NL,EUR,41.02,208,16,7.69%,0.53,8.53,0.00%,0.00,0.00
Wednesday,16,ADa_Pants_NL,EUR,28.60,50,1,2.00%,1.43,1.43,0.00%,0.00,0.00
Tuesday,5,ADa_Pants_NL,EUR,17.96,20,2,10.00%,0.18,0.36,0.00%,0.00,0.00
Sunday,17,ADa_Pants_NL,EUR,9.13,182,8,4.40%,0.21,1.66,0.00%,0.00,0.00
Monday,22,S | General | NL,EUR,51.49,47,2,4.26%,1.21,2.42,0.00%,0.00,0.00
Sunday,8,S | General | NL,EUR,98.92,151,8,5.30%,1.87,14.94,0.00%,0.00,0.00
Thursday,11,PMax | Rem | EU | EN,EUR,10.01,399,19,4.76%,0.21,3.99,0.00%,0.00,0.00
Saturday,9,PMax | Rem | AU-NZ | EN,EUR,6.60,24,3,12.50%,0.05,0.16,0.00%,0.00,0.00
Friday,4,PMAX | shopping | EU | EN,EUR,0.00,32,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,1,PMAX | shopping | EU | EN,EUR,0.00,46,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,6,PMAX | shopping | EU | EN,EUR,0.00,40,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,9,S | General | UK,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,1,S | General | UK,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,20,S | General | UK,EUR,0.00,6,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,12,PMax | Rem | US | EN,EUR,0.00,9,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,3,PMax | Rem | US | EN,EUR,0.00,48,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,19,PMax | Rem | US | EN,EUR,0.00,43,0,0.00%,0,0.00,0.00%,0.00,0.00
