Quarter	Day of the week	Hour of the day	Campaign	Currency code	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Conv. rate	Conversions	Cost / conv.
Current Quarter	Saturday	6	PMax | Rem | AU-NZ | EN	EUR	107.39	23	2	0.087	1.24	2.47	0	0	0
Current Quarter	Tuesday	11	PMax | Rem | AU-NZ | EN	EUR	29.68	137	3	0.0219	1.36	4.07	0	0	0
Current Quarter	Sunday	6	PMax | Rem | AU-NZ | EN	EUR	1.08	49	2	0.0408	0.03	0.05	0	0	0
Current Quarter	Monday	2	PMax | Rem | DE	EUR	0	33	0	0	0	0	0	0	0
Current Quarter	Thursday	11	PMAX | shopping | EU | EN	EUR	0	210	0	0	0	0	0	0	0
Current Quarter	Wednesday	0	S | General | UK	EUR	0	8	0	0	0	0	0	0	0
Current Quarter	Wednesday	8	S | General | UK	EUR	0	10	0	0	0	0	0	0	0
Current Quarter	Saturday	3	PMax | Rem | US | EN	EUR	0	15	0	0	0	0	0	0	0
Current Quarter	Thursday	17	PMax | Rem | US | EN	EUR	0	5	0	0	0	0	0	0	0
Current Quarter	Tuesday	1	ADa_Panty_NL	EUR	0	35	0	0	0	0	0	0	0
Current Quarter	Thursday	0	Sh | General | NL	EUR	0	9	0	0	0	0	0	0	0
Current Quarter	Monday	17	PMax | Rem | CA | EN	EUR	0.17	26	0	0	0	0	0	0	0
Current Quarter	Thursday	2	ADa_Pants_NL	EUR	0	16	0	0	0	0	0	0	0
Current Quarter	Tuesday	11	S | Brand | EU | EN	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Saturday	21	PMax | Rem | AU-NZ | EN	EUR	0.01	30	0	0	0	0	0	0	0
Current Quarter	Friday	5	PMax | Rem | AU-NZ | EN	EUR	0	10	0	0	0	0	0	0	0
Current Quarter	Thursday	8	PMax | Rem | AU-NZ | EN	EUR	0.06	23	0	0	0	0	0	0	0
Current Quarter	Monday	14	PMax | Rem | AU-NZ | EN	EUR	1.87	9	0	0	0	0.02	0	0	0
Current Quarter	Thursday	5	S | Brand | NL	EUR	20	2	1	0.5	0.04	0.04	0	0	0
